Depth,BW,PW,MH,Ratio,Stability,Label
83,6.34,13.66,6.13,2.23,Intact,I1
75,5.97,11.03,5.5,2.01,Intact,I1
77,6.78,10.22,4.05,2.52,Intact,I1
71,6.3,10.7,5.5,1.95,Intact,I1
76,6.2,10.8,5.5,1.96,Intact,I1
66,7.08,10.92,6.45,1.69,Intact,I1
76,7.15,8.85,3.48,2.54,Intact,I1
77,7.19,9.81,4.86,2.02,Intact,I1
93.8,6,14,3.6,3.89,Intact,I0
93.8,6,14.92,3,4.97,Intact,I0
93.8,6,14.7,3.2,4.59,Intact,I0
109,6.48,17.5,3.67,4.77,Intact,I0
106,7.5,16.47,3.5,4.71,Intact,I0
92.28,6.93,17.07,3.87,4.41,Intact,I0
122,6.71,21,3.29,6.38,Intact,I0
122,6.71,21.2,3.29,6.44,Intact,I0
97.54,6.1,9.14,3.2,2.86,Intact,I1
106.68,6.1,15.24,4.88,3.12,Intact,I1
45.72,6.1,4.88,1.65,2.96,Intact,I1
60.96,6.1,4.88,1.55,3.15,Intact,I1
60.96,6.71,7.01,2.59,2.71,Intact,I1
30.48,5.49,2.74,1.55,1.77,Intact,I1
85.34,6.1,7.62,3.2,2.38,Intact,I1
167.64,3.69,14.33,1.98,7.24,Intact,I0
108.51,6.71,7.62,2.29,3.33,Intact,I1
42.67,5.49,4.27,2.59,1.65,Intact,I1
140.21,5.49,17.37,2.44,7.12,Intact,I0
160.93,6.31,14.94,2.96,5.05,Intact,I1
180.44,5.97,15.24,2.99,5.1,Intact,I1
163.98,6.22,15,2.8,5.36,Intact,I1
146,5.49,16.46,2.41,6.83,Intact,I0
198.12,5.7,17.16,2.83,6.06,Intact,I1
182.88,5.49,15.85,4.88,3.25,Intact,I1
36.58,4.88,7.32,1.83,4,Intact,I0
91.44,6.1,7.62,1.68,4.54,Intact,I0
60.96,6.1,9.14,4.88,1.87,Intact,I1
76.2,6.1,10.67,4.88,2.19,Intact,I1
91.44,6.1,12.19,4.88,2.5,Intact,I1
