Depth,BW,PW,MH,Ratio,Stability,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,Pillar Stress,SF_1,SF_2,SF_3,SF_4,SF_5,SF_6,SF_7
61,6.1,6.1,4.57,1.334792123,Failed,3878.208443,4998.470725,5670.354323,6047.689173,4155.098213,4797.54896,5635.403754,6100,0.635771876,0.81942143,0.929566283,0.991424455,0.681163642,0.786483436,0.923836681
61,7.62,6.1,3.05,2,Failed,5810.954945,7000.443928,7679.314746,7897.620485,5190.035064,6792.810289,7479.223123,7714.688525,0.753232606,0.907417572,0.99541475,1.023712164,0.672747195,0.880503505,0.969478301
57.9,7.62,6.1,3.96,1.54040404,Failed,4475.609238,5632.059803,6313.583929,6647.453858,4495.75723,5426.620956,6229.880939,7322.630583,0.61120238,0.769130675,0.862201617,0.907795878,0.613953849,0.741075341,0.85077089
41.1,6.4,4.27,3.05,1.4,Failed,4861.793719,5856.991603,6424.975679,6702.570004,4902.143029,5683.272837,6257.567016,6415.860601,0.75777733,0.91289259,1.00142071,1.044687599,0.764066325,0.885816134,0.975327771
25.9,8.53,3.66,3.05,1.2,Failed,4501.146346,5422.52055,5948.371624,6243.754741,4782.714888,5261.688225,5793.38132,7182.655107,0.626668868,0.75494653,0.828157768,0.869282271,0.665870046,0.732554765,0.806579354
21.3,8.23,3.96,4.57,0.866520788,Failed,3124.73954,4027.354214,4568.702436,4957.668953,3877.57092,3865.468076,4540.542158,5045.876904,0.619265908,0.798147535,0.905432797,0.982518807,0.768463241,0.76606468,0.899851947
29.6,7.01,5.18,5.49,0.943533698,Failed,2974.917767,3953.516421,4553.738123,4969.999811,3659.404368,3775.853135,4567.364776,4098.072256,0.725931019,0.964725894,1.111190296,1.212765296,0.892957503,0.921373001,1.114515433
27.4,7.92,3.66,2.13,1.718309859,Failed,6445.303453,7312.784292,7786.427965,7913.219109,5826.806846,7165.005264,7448.627906,6857.179522,0.939935061,1.066442007,1.135514673,1.15400495,0.849738122,1.044891014,1.086252428
36.6,7.62,4.57,2.44,1.87295082,Failed,6287.104859,7297.007703,7857.74915,8012.473325,5602.793518,7123.366334,7568.096849,6510.226599,0.9657275,1.120853106,1.206985507,1.230751834,0.86061421,1.094181013,1.162493614
33.5,6.71,6.1,5.49,1.111111111,Failed,3228.308303,4290.259727,4941.605699,5358.168993,3756.387738,4097.463856,4956.393011,3693.375,0.874080835,1.161609565,1.337964788,1.450751411,1.017061018,1.109409106,1.341968528
30.5,7.62,4.57,3.66,1.24863388,Failed,4191.403239,5205.480045,5797.352609,6131.212461,4482.852249,5026.28137,5698.004656,5425.188833,0.772582,0.959502094,1.06859923,1.130138074,0.82630345,0.92647123,1.050286881
53.3,6.4,5.18,3.66,1.415300546,Failed,4462.376651,5542.013327,6172.150338,6494.96183,4573.625437,5351.229492,6066.379559,6659.242297,0.670102761,0.832228815,0.926854748,0.975330457,0.686808684,0.803579334,0.910971442
68.6,5.79,3.35,1.52,2.203947368,Failed,8640.945095,9266.785806,9594.49548,9492.623875,6916.328712,9162.613089,9024.712,12766.35456,0.676852978,0.725875642,0.751545434,0.74356574,0.54176223,0.717715699,0.706913783
88.4,6.55,7.16,4.88,1.467213115,Failed,3934.767895,5127.258686,5848.225023,6234.266132,4111.853297,4912.447186,5831.282683,8102.912304,0.48559922,0.632767392,0.721743591,0.769385858,0.507453758,0.606256985,0.719652696
57.9,6.4,5.18,5.49,0.943533698,Failed,2974.917767,3953.516421,4553.738123,4969.999811,3659.404368,3775.853135,4567.364776,7233.961144,0.411243261,0.546521656,0.629494413,0.687037117,0.505864532,0.521962043,0.631378118
61,6.86,4.72,3.51,1.344729345,Failed,4441.670245,5477.881099,6079.573202,6397.246017,4610.990588,5295.284631,5962.899329,9179.160532,0.483886324,0.596773646,0.662323442,0.696931489,0.502332492,0.576881144,0.649612708
30.5,6.4,3.35,2.59,1.293436293,Failed,5071.133801,5944.647811,6433.243805,6677.67375,5159.109301,5793.847187,6214.612127,6458.913455,0.785137289,0.920378923,0.996025702,1.033869519,0.798758079,0.897031246,0.962176095
36.2,6.27,5.7,3.8,1.5,Intact,4508.543469,5634.561479,6294.803251,6621.062537,4549.267022,5435.080298,6198.553724,3991.05,1.129663489,1.411799271,1.577229864,1.658977597,1.139867209,1.36181714,1.553113523
