Depth,BW,PW,MH,Ratio,Stability,Relabel_3
54,6.48,8.52,3.69,2.308943089,Intact,Unstable
56,6.41,8.59,3.63,2.366391185,Intact,Unstable
54.6,6.37,5.67,1.6,3.54375,Intact,Unstable
68.58,5.49,5.18,1.19,4.352941176,Intact,Unstable
91.44,5.49,6.1,1.19,5.12605042,Intact,Unstable
53,6.1,5.6,1.8,3.111111111,Failed,Unstable
88,6,11,2.9,3.793103448,Failed,Unstable
57.34,5.99,9.07,3.84,2.361979167,Intact,Unstable
52.5,6.38,5.66,1.7,3.329411765,Intact,Unstable
87.53,6,12,3.6,3.333333333,Intact,Unstable
72,7.11,12.89,4.15,3.106024096,Intact,Unstable
57,6.65,9.35,3.65,2.561643836,Intact,Unstable
75,6.3,10.7,3.41,3.137829912,Intact,Unstable
78,6.3,10.7,3.35,3.194029851,Intact,Unstable
45.72,6.1,4.88,1.65,2.957575758,Intact,Unstable
110.5,5,12,3,4,Intact,Unstable
38,7,5,1.8,2.777777778,Intact,Unstable
