Depth,PW,BW,MH,Stability,cluster,Label
54.65,10,5,2.2,Intact,0,I0
54.99,9.47,5,3,Intact,0,I0
45.72,6.55,6.4,3.51,Intact,1,I1
82,12,6,3,Intact,0,I0
70.1,12,6,3.35,Intact,0,I0
21.34,6.1,6.71,2.74,Intact,1,I1
30.48,6.4,6.4,3.66,Intact,1,I1
41.15,6.4,6.4,1.98,Intact,0,I0
78.54,14,6,2.7,Intact,0,I0
78.54,14,6,2.4,Intact,0,I0
