Depth,PW,BW,MH,Stability
81,13.01,6.99,4.31,Intact
64.92,9,6,3.72,Intact
75,10.03,6.97,3.07,Intact
84,12.97,7.03,4.31,Intact
79,13.58,6.42,5.89,Intact
74,9.9,7.1,3.33,Intact
71,12.32,6.68,5.84,Intact
73,10.21,6.79,3.93,Intact
83,13.66,6.34,6.13,Intact
75,11.03,5.97,5.5,Intact
77,10.22,6.78,4.05,Intact
71,10.7,6.3,5.5,Intact
76,10.8,6.2,5.5,Intact
66,10.92,7.08,6.45,Intact
76,8.85,7.15,3.48,Intact
77,9.81,7.19,4.86,Intact
93.8,14,6,3.6,Intact
93.8,14.92,6,3,Intact
93.8,14.7,6,3.2,Intact
109,17.5,6.48,3.67,Intact
106,16.47,7.5,3.5,Intact
92.28,17.07,6.93,3.87,Intact
122,21,6.71,3.29,Intact
122,21.2,6.71,3.29,Intact
97.54,9.14,6.1,3.2,Intact
106.68,15.24,6.1,4.88,Intact
45.72,4.88,6.1,1.65,Intact
60.96,4.88,6.1,1.55,Intact
60.96,7.01,6.71,2.59,Intact
30.48,2.74,5.49,1.55,Intact
85.34,7.62,6.1,3.2,Intact
167.64,14.33,3.69,1.98,Intact
108.51,7.62,6.71,2.29,Intact
42.67,4.27,5.49,2.59,Intact
140.21,17.37,5.49,2.44,Intact
160.93,14.94,6.31,2.96,Intact
180.44,15.24,5.97,2.99,Intact
163.98,15,6.22,2.8,Intact
146,16.46,5.49,2.41,Intact
198.12,17.16,5.7,2.83,Intact
182.88,15.85,5.49,4.88,Intact
36.58,7.32,4.88,1.83,Intact
91.44,7.62,6.1,1.68,Intact
60.96,9.14,6.1,4.88,Intact
76.2,10.67,6.1,4.88,Intact
91.44,12.19,6.1,4.88,Intact
45.72,6.1,6.1,3.05,Intact
178.49,19,6,2.3,Intact
195.15,20,6,2.1,Intact
203.42,19,6,1.7,Intact
203.42,19,6,1.7,Intact
42.67,5.49,5.49,2.59,Intact
91.44,6.1,6.1,1.68,Intact
48.77,7.32,6.4,2.44,Intact
83.92,11.47,6,3,Intact
87.6,12,6,2.8,Intact
45.72,6.1,6.1,3.96,Intact
60.96,7.62,6.1,3.96,Intact
45.72,6.1,6.1,1.68,Intact
60.96,7.62,6.1,1.68,Intact
76.2,9.14,6.1,3.96,Intact
91.44,12.19,6.1,3.96,Intact
76.2,9.14,6.1,1.68,Intact
33.53,6.71,5.49,3.96,Intact
