Depth,BW,PW,MH,Ratio,Stability
88.39,6.1,9.14,3.05,2.996721311,Intact
84.65,6,6,1.75,3.428571429,Intact
85.34,6.1,7.62,3.05,2.498360656,Intact
108.51,6.4,8.84,2.29,3.860262009,Intact
79.4,6,24,3,8,Intact
138.89,6,17.78,3,5.926666667,Intact
138.89,6,31.06,3,10.35333333,Intact
79.4,6,19.47,3,6.49,Intact
60.96,6.71,7.01,3.35,2.092537313,Intact
30.48,6.1,6.1,3.2,1.90625,Intact
44.2,6.1,6.1,4.27,1.428571429,Intact
42.8,6,7,2.2,3.181818182,Intact
67.8,6,11,4,2.75,Intact
67.8,6,11.73,4,2.9325,Intact
36.3,6,8,3.7,2.162162162,Intact
51.8,6.02,10.98,2.88,3.8125,Intact
124.9,5.73,18.27,2.67,6.842696629,Intact
110,6.18,17.82,3.46,5.150289017,Intact
146.2,6.29,19.89,2.91,6.835051546,Intact
68.9,6,12.9,3,4.3,Intact
34.5,6.5,5.5,5.5,1,Intact
33.8,6,8,2.4,3.333333333,Intact
52.8,6,8,3,2.666666667,Intact
38.37,6.4,8.1,5.9,1.372881356,Intact
52.8,6,11.3,3,3.766666667,Intact
45.72,6.1,6.1,4.57,1.334792123,Intact
219.46,5.58,21.73,3.17,6.85488959,Intact
76.2,6.1,7.62,4.57,1.667396061,Intact
106.68,5.49,6.71,1.19,5.638655462,Intact
182.88,5.94,16.92,2.44,6.93442623,Intact
91.44,6.1,12.19,1.52,8.019736842,Intact
35.05,5.49,9.75,2.44,3.995901639,Intact
50.6,6.1,6.1,1.37,4.452554745,Intact
76.2,6.1,9.14,1.37,6.671532847,Intact
35.05,4.88,7.32,2.59,2.826254826,Intact
42,10,5,1.8,2.777777778,Intact
36,7,5,2.4,2.083333333,Intact
38,7,5,1.8,2.777777778,Intact
22,6,6,1.5,4,Intact
36.58,6.1,6.1,3.66,1.666666667,Intact
51.82,6.1,7.62,3.66,2.081967213,Intact
137.16,5.49,12.8,3.66,3.49726776,Intact
91.44,6.1,9.14,4.57,2,Intact
45.72,6.1,7.62,4.88,1.56147541,Intact
19.81,6.1,7.62,3.2,2.38125,Intact
29.77,5,14,3,4.666666667,Intact
58.53,6,11.42,3.5,3.262857143,Intact
58.53,6,14,3.5,4,Intact
42.59,6,15,3.7,4.054054054,Intact
13.22,6,8,2.6,3.076923077,Intact
65.78,5,10,2.2,4.545454545,Intact
54.65,5,10,2.2,4.545454545,Intact
54.99,5,9.47,3,3.156666667,Intact
45.72,6.4,6.55,3.51,1.866096866,Intact
82,6,12,3,4,Intact
70.1,6,12,3.35,3.582089552,Intact
21.34,6.71,6.1,2.74,2.226277372,Intact
30.48,6.4,6.4,3.66,1.74863388,Intact
41.15,6.4,6.4,1.98,3.232323232,Intact
78.54,6,14,2.7,5.185185185,Intact
78.54,6,14,2.4,5.833333333,Intact
