Depth,PW,BW,MH,Ratio,Stability,cluster,Label
106.68,9.14,6.1,1.68,5.44047619,Intact,0,I0
140.21,12.8,5.49,2.44,5.245901639,Intact,0,I0
93.88,9.75,5.49,1.98,4.924242424,Intact,0,I0
39.62,6.1,6.1,2.59,2.355212355,Intact,0,I0
91.44,6.1,6.1,1.55,3.935483871,Intact,0,I0
223.38,28,5,3.5,8,Intact,0,I0
173.22,25,5,4.2,5.952380952,Intact,0,I0
215.05,35,5,3,11.66666667,Intact,0,I0
254.45,35,5,4,8.75,Intact,0,I0
215.05,25,5,3,8.333333333,Intact,0,I0
62.48,10,6,2.2,4.545454545,Intact,0,I0
62.48,15,6,2.1,7.142857143,Intact,0,I0
62.48,9,6,2.25,4,Intact,0,I0
70,15,6,3,5,Intact,0,I0
122.17,12,6,2.8,4.285714286,Intact,0,I0
122,15.4,6.6,2.5,6.16,Intact,0,I0
122,15.4,6.6,2.5,6.16,Intact,0,I0
94,10.22,6.78,3,3.406666667,Intact,1,I1
94,10.2,6.8,2.8,3.642857143,Intact,1,I1
45.72,6.1,6.1,2.9,2.103448276,Intact,0,I0
60.96,7.62,6.1,2.9,2.627586207,Intact,0,I0
76.2,9.14,6.1,2.9,3.151724138,Intact,0,I0
91.44,10.67,6.1,2.9,3.679310345,Intact,0,I0
40.07,8,6,3.2,2.5,Intact,0,I0
40.07,7.5,6,3.2,2.34375,Intact,0,I0
56.11,7.5,6,3.5,2.142857143,Intact,1,I1
111.91,13.4,6,3,4.466666667,Intact,0,I0
121.02,13,6,3.5,3.714285714,Intact,0,I0
143.26,12.8,5.49,1.68,7.619047619,Intact,0,I0
140.72,15,6,2.7,5.555555556,Intact,0,I0
83.43,12,6,2.8,4.285714286,Intact,0,I0
101.21,12,6,2.3,5.217391304,Intact,0,I0
114.35,12,6,2.3,5.217391304,Intact,0,I0
119.41,15,6,2.3,6.52173913,Intact,0,I0
114.3,12,6,2.6,4.615384615,Intact,0,I0
104.76,12,6,4.8,2.5,Intact,1,I1
130.75,15,6,2,7.5,Intact,0,I0
44.55,12,6,2.5,4.8,Intact,0,I0
44.55,12,6,3,4,Intact,0,I0
40.3,8,6,2.1,3.80952381,Intact,0,I0
37.36,10,6,2.8,3.571428571,Intact,0,I0
70.76,14,6,2.6,5.384615385,Intact,0,I0
44.55,6,6,3.3,1.818181818,Intact,1,I1
87.53,12,6,3.6,3.333333333,Intact,1,I1
90.22,8.53,6.71,2.9,2.94137931,Intact,1,I1
115.82,7.62,6.1,1.83,4.163934426,Intact,0,I0
84.84,7,6,2.26,3.097345133,Intact,0,I0
84.84,7,6,2.26,3.097345133,Intact,0,I0
84.84,7,6,2.26,3.097345133,Intact,0,I0
61.5,9.47,6,1.98,4.782828283,Intact,0,I0
61.5,9.26,6,1.98,4.676767677,Intact,0,I0
58.71,11,6,2.3,4.782608696,Intact,0,I0
58.71,7,6,2,3.5,Intact,0,I0
108.63,12.5,6,3.38,3.698224852,Intact,0,I0
108.63,18.5,6,3.65,5.068493151,Intact,0,I0
94.28,10,5,1.4,7.142857143,Intact,0,I0
94.28,10,5,1.7,5.882352941,Intact,0,I0
51.82,9.14,6.1,1.68,5.44047619,Intact,0,I0
64.01,7.62,7.62,3.05,2.498360656,Intact,1,I1
48.77,9.14,6.1,4.27,2.140515222,Intact,1,I1
108.51,8.53,6.71,2.29,3.72489083,Intact,0,I0
46.1,7.1,6.9,3.8,1.868421053,Intact,1,I1
50,9.3,5.7,3.65,2.547945205,Intact,0,I0
58.3,8.47,6,3.8,2.228947368,Intact,1,I1
59.3,11,6,3.7,2.972972973,Intact,1,I1
196,15,6,2.6,5.769230769,Intact,0,I0
64.92,20.57,6,3.5,5.877142857,Intact,0,I0
55,11.8,6.2,3.41,3.460410557,Intact,1,I1
65,10.98,6.02,3.2,3.43125,Intact,0,I0
51,8.89,6.11,3.27,2.718654434,Intact,1,I1
68,11.66,6.34,3.4,3.429411765,Intact,1,I1
46,8.6,6.4,3.55,2.422535211,Intact,1,I1
74,11.31,5.69,3.41,3.316715543,Intact,0,I0
68,10.87,6.13,3.37,3.225519288,Intact,1,I1
68,12.9,7.1,4.06,3.177339901,Intact,1,I1
54,8.92,6.08,3.58,2.491620112,Intact,1,I1
70,10.68,6.32,3.25,3.286153846,Intact,1,I1
49,8.57,6.43,3.69,2.322493225,Intact,1,I1
51,8.65,6.35,3.64,2.376373626,Intact,1,I1
72,12.89,7.11,4.15,3.106024096,Intact,1,I1
77,10.04,5.96,2.94,3.414965986,Intact,0,I0
57,9.35,6.65,3.65,2.561643836,Intact,1,I1
75,10.7,6.3,3.41,3.137829912,Intact,1,I1
78,10.7,6.3,3.35,3.194029851,Intact,1,I1
54,8.52,6.48,3.69,2.308943089,Intact,1,I1
56,8.59,6.41,3.63,2.366391185,Intact,1,I1
64.92,9,6,3.6,2.5,Intact,1,I1
73,10.63,6.37,3.85,2.761038961,Intact,1,I1
81,13.01,6.99,4.31,3.018561485,Intact,1,I1
64.92,9,6,3.72,2.419354839,Intact,1,I1
75,10.03,6.97,3.07,3.267100977,Intact,1,I1
84,12.97,7.03,4.31,3.009280742,Intact,1,I1
79,13.58,6.42,5.89,2.305602716,Intact,1,I1
74,9.9,7.1,3.33,2.972972973,Intact,1,I1
71,12.32,6.68,5.84,2.109589041,Intact,1,I1
73,10.21,6.79,3.93,2.597964377,Intact,1,I1
83,13.66,6.34,6.13,2.228384992,Intact,1,I1
75,11.03,5.97,5.5,2.005454545,Intact,1,I1
77,10.22,6.78,4.05,2.52345679,Intact,1,I1
71,10.7,6.3,5.5,1.945454545,Intact,1,I1
76,10.8,6.2,5.5,1.963636364,Intact,1,I1
66,10.92,7.08,6.45,1.693023256,Intact,1,I1
76,8.85,7.15,3.48,2.543103448,Intact,1,I1
77,9.81,7.19,4.86,2.018518519,Intact,1,I1
93.8,14,6,3.6,3.888888889,Intact,0,I0
93.8,14.92,6,3,4.973333333,Intact,0,I0
93.8,14.7,6,3.2,4.59375,Intact,0,I0
109,17.5,6.48,3.67,4.768392371,Intact,1,I1
106,16.47,7.5,3.5,4.705714286,Intact,1,I1
92.28,17.07,6.93,3.87,4.410852713,Intact,1,I1
122,21,6.71,3.29,6.382978723,Intact,1,I1
122,21.2,6.71,3.29,6.443768997,Intact,1,I1
97.54,9.14,6.1,3.2,2.85625,Intact,0,I0
106.68,15.24,6.1,4.88,3.12295082,Intact,1,I1
45.72,4.88,6.1,1.65,2.957575758,Intact,0,I0
60.96,4.88,6.1,1.55,3.148387097,Intact,0,I0
60.96,7.01,6.71,2.59,2.706563707,Intact,1,I1
30.48,2.74,5.49,1.55,1.767741935,Intact,0,I0
85.34,7.62,6.1,3.2,2.38125,Intact,1,I1
167.64,14.33,3.69,1.98,7.237373737,Intact,0,I0
108.51,7.62,6.71,2.29,3.327510917,Intact,1,I1
42.67,4.27,5.49,2.59,1.648648649,Intact,0,I0
140.21,17.37,5.49,2.44,7.118852459,Intact,0,I0
160.93,14.94,6.31,2.96,5.047297297,Intact,0,I0
180.44,15.24,5.97,2.99,5.096989967,Intact,0,I0
163.98,15,6.22,2.8,5.357142857,Intact,0,I0
146,16.46,5.49,2.41,6.829875519,Intact,0,I0
198.12,17.16,5.7,2.83,6.06360424,Intact,0,I0
182.88,15.85,5.49,4.88,3.24795082,Intact,1,I1
36.58,7.32,4.88,1.83,4,Intact,0,I0
91.44,7.62,6.1,1.68,4.535714286,Intact,0,I0
60.96,9.14,6.1,4.88,1.87295082,Intact,1,I1
76.2,10.67,6.1,4.88,2.18647541,Intact,1,I1
91.44,12.19,6.1,4.88,2.49795082,Intact,1,I1
45.72,6.1,6.1,3.05,2,Intact,0,I0
178.49,19,6,2.3,8.260869565,Intact,0,I0
195.15,20,6,2.1,9.523809524,Intact,0,I0
203.42,19,6,1.7,11.17647059,Intact,0,I0
203.42,19,6,1.7,11.17647059,Intact,0,I0
42.67,5.49,5.49,2.59,2.11969112,Intact,0,I0
91.44,6.1,6.1,1.68,3.630952381,Intact,0,I0
48.77,7.32,6.4,2.44,3,Intact,0,I0
83.92,11.47,6,3,3.823333333,Intact,0,I0
87.6,12,6,2.8,4.285714286,Intact,0,I0
45.72,6.1,6.1,3.96,1.54040404,Intact,1,I1
60.96,7.62,6.1,3.96,1.924242424,Intact,1,I1
45.72,6.1,6.1,1.68,3.630952381,Intact,0,I0
60.96,7.62,6.1,1.68,4.535714286,Intact,0,I0
76.2,9.14,6.1,3.96,2.308080808,Intact,1,I1
91.44,12.19,6.1,3.96,3.078282828,Intact,1,I1
76.2,9.14,6.1,1.68,5.44047619,Intact,0,I0
